Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
لازم روح ما تواخذني عندي موعد عند الحكيم,ماشي ما تعطل هم الله معك,لازم اروح لا مؤأخذة عندي معاد عند الدكتور,ماشي متشلش هم الله معاك
كيف كان أول يوم جامعة ؟,منيح حلو تعرفت على ناس جداد,ايه اخبار اول يوم جامعة ؟,كويس حلو اتعرفت على ناس جداد
جوعان كتير شو بدنا ناكول ؟,شو رأيك نجيب شاورما ؟,جعان اوي حناكل ايه ؟,ايه رأيك نجيب شاورما ؟
صباح الخير يا حلوة,صباح النور اهلين فيك,صباح الخير يا حلوة,صباح النور اهلن فيك
بتحبي الورود ؟,طبعا في حدا ما بحب الورد يعني ؟,بتحبي الورود ؟,طبعا في حد مابيحبش الورد يعني ؟
كيف الطقس برا ؟,منيح اجمالا بس يمكن تشتي شوي,ايه اخبار الجو برا ؟,كويس اجمالا بس ممكن تمطر شوية
ما عم يسكت الصبي شو بدي اعمل,بكون جوعان عمليلو بيبروني,مش بيسكت الولد اعمل ايه,يكون جعان اعمليله بيبرونة
الموسيقى الكلاسيكية بتروق الأعصاب,لا بالعكس بتزهقني كتير,الموسيقى الكلاسيكية بتروق الأعصاب,لا بالعكس بتزهقني جدا
في كافيه جديدة فتحت بالبلد,سمعت عنها شكلو شي مرتب,في كافيه جديدة فتح في البلد,سمعت عنه شكلو حاجة نضيفة
لحسير خال عن قريب,مبروك شو هالخبر الحلو,حبقى خال قريب,مبروك ايه الخبر الحلو ده
بتجي لهون كتير انت ؟,لا بس احيانا لما كون زهقان,انت بتيجي هتا كتير ؟,لا بس احيانا لما بكون زهقان
كانت حلوة كتير هالحفلة,اي والله انبسطنا,كانت حلوة اوي الحفلة,اه ولله انبسطنا
مين ربح السبق ؟,متل العادي فريق الميرسيديس,مين كسب السبق,ذي العادي فريق الميرسيديس
فيك تحكيلي مع رفيقتك عبالي اعزمها عالغدا,اي ما في مشكلة بس شوفا بحكيلها عنك,ممكن تكلملي صاحبتك عايز اعزمها عالغدا,اه مفيش مشكلة اول ماشوفها هحكيلها عنك
ليش ما عم بترد عليي ؟,تركني هلق معصب ما طايق حالي,ليه مابتردش عليا,سبني دلوقتي متعصب مش طايق نفسي
عورت اجري من يومين ؟,كيف عورتها ؟ كيف صارت هلق ؟,عورت رجلي من يومين,عورتها اذاي ؟ بقت عاملة ايه دلوقتي ؟
حلوة سيارتك كتير,شكرا مقدمة مع انو قديمة شوي,حلوة اوي عربيتك,شكرا مقدما مع انها قديمة شوية
ايتما عيد ميلادك ؟,مش بعيد تقريبا بعد اسبوع,ايمتا عيد ميلادك,مش بعيد تقريبا بعد اسبوع
جدي عم يتعب كتير هالأيام,سلامتو شو عم بصير معو ؟,جدي تعبان اوي اليومين دول,سلامته ايه الي حاصل معاه ؟
شو عم تدرس بالجامعة ؟,هندسة كمبيوتر و مركز عالذكاء الإصطناعي,بتدرس ايه في الجامعة ؟,هندسة كمبيوتر و مركز عالذكاء الإصطناعي
عفوا عالتأخير بس عنجد كان في كتير عجقة عالطريق,ما بأسر أنا كمان علقت بهالعجقة شي مش معقول,عفوا عالتأخير بس كان في زحمة كتير في الطريق,مش مشكلة انا كمان اتزنقت في الزحمة حاجة مش معقولة
عن شو عم تقرا بالجريدة ؟,عم شوف الأخبار الرياضية شو الوضع,بتقرا جريدة عن ايه ؟,بشوف الأخبار ايه الوضع
تروح نلعب فوتبول الليلة ؟,اي ليش لأ كان جايي عبالي,تيجي نلعب كورة انهردة بليل ؟,اه ليه لأ كان على بالي
بتحب اللغة اللإنجليزية ؟,طبعا بحبا كتير سهلة,بتحب اللغة اللإنجليزية ؟,طبعا بحبها سهلة اوي
شفت شي بلوزتي ؟ ضيعتها,ايه شفتك تاركا عالكرسي,شفت التشرت بتاعي ؟ ضيعتها,اه شفتك سايبها على الكرسة
كيفو المعلم مشتاقين,اهلا اهلا والله بالأكتر,عامل ايه يا معلم واحشني,اهلا اهلا والله بالأكتر
عجبك الأستاذ الجديد ؟,لا شكلو مل بيعرف يشرح,عجبك الأستاذ الجديد ؟,لا شكلو مبيعرفش يشرح
مين عمل هالشي الغبي؟,اكيد شي ولد بلا تنظيم,مين الي عمل الحاجة الغبية ديه ؟,اكيد ولد غير منظم
شو كيف الطقس اليوم؟,برد كتير. ضلت الدنيا تتلج طول النهار,ايه اخبار الجو انهردة ؟,برد جامد. فضلت الدنيا تتلج طول اليوم
ما بحب فصل الشتاء بحب فصل الصيف,انا كمان. يا ريت الدنيا صيف,مبحبش فصل الشتاء بحب فصل الصيف,انا كمان. يا ريت الدنيا صيف
الصبي وعدنا انو حيساعدنا,هيدا بيوعد وما بيوفي بوعدو,الولد وعدنا انو حيساعدنا,ده بيوعد و مبيوفيش
شو هل الصدفة السعيدة!,حبيبي عاش مين شافك!,ايه الصدفة السعيدة ديه !,حبيبي عاش مين شافك!
انا كتير فخور فيك!,شكرا عل معنويات!,انا فخورة فيك جدا!,شكرا على المعنويات!
ليش ما جيت عل حفلة مبارح؟,كنت تعبان شوي ما قدرت اجي نمت,ليه ما جيتش امبارح عالحفلة ؟,كنت تعبان شوية ماقدرتش اجي نمت
كان في شي غريب بالطيارة مبارح,ليش؟ على ايا رحلة كنت مسافر؟,كان في حاجة غريبة في الطيارة امبارح,ليه؟ على انهي رحلة كنت مسافر؟
يمكن المنطقة مش امان هونيك,لا ما تعتل هم اختي ساكنة هونيك,يمكن المنطقة مش امان هناك,لا متشلش هم اختي ساكنة هناك
انا عطشان كتير,حأنزل جبلك عصير,انا عطشان اوي,حنزل جبلك عصير
ليك ممكن هل صبية تساعدنا بأوراق المعاملة؟,"اكيد, بعرف عنا خدومة كتير",ليه ممكن البينت ديه بأوراق المعاملة ؟,"اكيد, اعرف عنها انها خدومة جدا"
انت بشو متخصص؟,انا مهندس معماري,انت متخصص في ايه,انا مهندس معماري
شو كيف كانت العطلة؟,الحمدلله حلوة كتير,ايه اخبار الاجازة؟,الحمدلله حلوة جدا
شو بدك جبلك هدية عل عيد ميلادك؟,بدي صباط جديد إذا فيك,عايزني اجبلك ايه هدية عيد ميلادك؟,عايز كوتشي جديد لو حتقدر
مبين علىى زوجك انو خدوم كتير,لا ما تشدي ايدك كتير,باين على زوجك انو خدوم جدا,لا متعشميش اوي
ليش بتعتبر انو ما عندك اصحاب؟,مبلا عندي بس ما بقدر اعتمد عليهن وقت الجد,ليه بتعتبر انك معندكش اصحاب ؟,لا عندي بس مقدرش اعتمد عليهم وقت الجد
ليش ما جيت عالصف مبارح؟,كان عندي التزمات برات الجامعة,ليه ماجتش عالفصل امبارح ؟,كان عندي التزمات برا الجامعة
ليك المصاري بعمرا ما بتعمل سعادة,ولك بالعكس يا خيي. اكيد بتعمل سعادة!,ليه الفلوس عمرها ما بتعمل سعادة,لا بالعكس يا اخويا. اكيد بتعمل سعادة!
هيدا اشتغل خمس سنين بالبنك,اها! اكيد عندو خبرة لكن,ده اشتغل خمس سنين في البنك,اها! اكيد عندو خبرة طبعا
شو نجحت؟,ايه الحمدلله,ايه نجحت ؟,اه الحمدلله
المصلحة لفتحناها ماشي حالها منيح,"عال, كم زبون عندك؟",المصلحة الي فتحناها ماشي حالها تمام,"عال, كم زبون عندك؟"
ليك شوف هالبدلة لشتريتها اليوم,يخزي العين! طالع عريس,شوف البدلة الي اشترتها انهردا,اسم الله عليك! طالع عريس
ليش مستعجل؟,البنك بيسكر بعد نص ساعة ولازم اصرف الشيك,ليه مستعجل ؟,البنك بيقفل بعد نص ساعة ولازم اصرف الشيك
يلا بالأذن لازم امشي,خليك يا زلمة قاعدين,يلا بالأذن لازم امشي,خليك يا راجل قاعدين
هيدا الشب ما حيطلع من امرو شي,عيب عليك تقول هيك,الشب ده مش حتطلع منه بحاجة,عيب عليك تقول كدة
الجيران صايرين كتير مزعجين!,عنجد! عم فكر اطلبلن الدرك!,الجيران بقوا مزعجين اوي !,بجد! بفكر اطلبلهم البوليس!
شو خبروني انك اشتريت كمبيوتر جديد,ايه شوفو محطوط عالمكتب,قالولي انك كمبيوتر جديد,اه شوفو محطوط على المكتب
كنت العب بفريق الفوتبول ايام المدرسة,اه والله! انا كنت بفريق الباسكت,كنت بلعب في فريق الكورة ايام المدرسة,اه والله! انا كنت في فريق السلة
ممكن ناخد الموعد نهار الأثنين؟,"الأثنين صعبة, حطلك الموعد الثلاثاء؟",ممكن ناخد المعاد يوم الأثنين؟,"الأثنين صعب, احطلك المعاد التلات؟"
اولك الناس بعد عندا ثقة بالحكومة؟,"ما بعتقد, انت شو رأيك؟",تفتكر الناس لسة عندها ثقة في الحكومة ؟,"معتقدش, انت ايه رأيك؟"
ليك ممكن تعلم هالشب كيف يقرا ويكتب؟,اديه عمرو؟ وليش بعدو ما بيعرف يقرا ويكتب؟,بص ممكن تعلم الشاب ده القراية والكتابة؟,عنده كام سنة؟ وليه لسة مابيعرفش يقرا و يكتب؟
عملت مشكل مع صاحبنا,اوف! مين بلش بالمشكل؟,عملت مشكلة مع صاحبنا,اوف! مين بدا في المشكلة؟
سمعنا انو لقيتي وظيفة جديدة,ايه عم درس رياضيات بالمدرسة الرسمية,سمعنا انك لقيتي وظيفة جديدة,اه بدرس رياضيات في المدرسة الحكومية
